#FILE	NUM_FOUND	actA	bsh	clpC	clpE	clpP	fbpA	gtcA	hly	hpt	iap/cwhA	icl	inlA	inlB	inlC	inlF	inlK	lap	lapB	llsA	llsB	llsD	llsG	llsH	llsP	llsX	llsY	lntA	lpeA	lplA1	lspA	mpl	oatA	pdgA	plcA	plcB	prfA	prsA2	vip
VF/SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	29	99.90	100.00	100.00	99.72	100.00	100.00	99.54	88.05	100.00	97.10	.	99.63	.	100.00	99.96	100.00	100.00	100.00	.	.	.	.	.	81.80	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	35	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	34	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	.	.	100.00	81.07	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	34	99.90	100.00	100.00	99.72	100.00	100.00	.	100.00	100.00	97.10	.	99.63	.	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	87.85	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	88.78	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	37	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	34	99.90	100.00	100.00	99.72	100.00	100.00	81.05	98.55	100.00	97.10	.	99.63	99.89	100.00	.	100.00	100.00	100.00	100.00	.	100.00	99.77	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	35	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	96.58	85.08	100.00	100.00	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013317_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	37	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	96.43	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013318_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	27	99.90	100.00	100.00	99.72	100.00	100.00	.	100.00	100.00	97.10	.	99.63	91.34	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013319_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	35	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013320_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	34	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	.	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013321_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	37	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	83.22	100.00	100.00	98.27	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013322_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013323_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	33	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	.	100.00	.	100.00	100.00	100.00	100.00	90.64	100.00	100.00	85.87	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013324_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	35	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	.	100.00	100.00	100.00	100.00	92.24	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	35	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	87.59	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	33	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	.	.	100.00	100.00	84.27	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	34	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013328_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013333_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	37	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	85.84	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013337_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	38	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	91.76	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	97.03	100.00	100.00	100.00	83.50	100.00	97.93	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	31	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	95.66	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	30	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	.	100.00	.	100.00	100.00	100.00	100.00	.	.	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	34	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	.	100.00	100.00	100.00	100.00	100.00	.	92.57	85.47	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	36	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	35	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
VF/SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_vf.tab	37	99.90	100.00	100.00	99.72	100.00	100.00	99.54	100.00	100.00	97.10	.	99.63	99.89	100.00	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	100.00	100.00
